District,Ethnicity,Fin Sup By Fam Sup Pct,Fin Sup By Fin Aids Pct,Fin Sup By Job Pct,Fin Sup By Oth Pct,Fin Sup By Per Sav Pct,Fin Sup By Schl Prize Pct,Have Own Desk At Home,Have Own Room At Home,High Edu Lvl Father,High Edu Lvl Mother,Mth Household Income,Nbr Of Household Member,Norm Travel Time,Number of Records,Place Of Birth,Religion,Residency,Snap Dat,Survey Year,Type Of Fam House,Wh Stdt Key,Work Exp,Year Of Resd In Hk
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130100,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129911,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129912,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126192,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126193,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131326,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131327,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131336,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126283,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126284,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130562,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130951,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130953,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,119091,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,119481,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126270,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126276,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130118,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130684,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130923,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130924,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130926,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131111,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,119517,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,119662,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130824,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131683,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131692,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,123649,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126750,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126759,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130213,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130217,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130219,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130615,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130619,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131582,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131599,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111079,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111102,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129603,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129606,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129870,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129873,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130152,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130154,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130156,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130415,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130940,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130946,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126723,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126740,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126482,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126485,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126381,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126338,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130361,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130367,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126782,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126835,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126842,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126856,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129835,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130243,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130646,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131021,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126365,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126234,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129638,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130444,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130445,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130448,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130451,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130746,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131783,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131789,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131792,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131504,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129798,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130041,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130883,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,124541,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130484,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130491,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130293,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130298,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130394,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130396,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111008,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131488,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129869,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130672,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129161,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129664,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129668,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129931,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129935,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130221,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130222,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130227,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130480,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130482,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130989,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131822,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,127184,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,128423,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129830,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129832,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130076,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130894,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130897,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130424,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130452,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,117019,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,117058,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129895,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130705,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130709,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,127334,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126213,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126219,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126220,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129693,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129697,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129699,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130252,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130253,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130255,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130801,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130806,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130809,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131027,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131028,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131885,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131912,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131929,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129710,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129712,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129860,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129979,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130102,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130300,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130370,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130428,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130722,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130545,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129578,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130520,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126375,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126379,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130341,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126294,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126295,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126764,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129725,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129998,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130544,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129742,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130011,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130137,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130239,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130082,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130470,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130473,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131812,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126477,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126884,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130023,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131757,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131759,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126425,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126428,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130580,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111118,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126414,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129853,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129855,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129673,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130065,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126207,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129716,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130108,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130506,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126507,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129785,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130059,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130060,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130322,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130757,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130758,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131804,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126437,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126439,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131615,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111280,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111285,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111335,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126468,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130130,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131062,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126246,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126247,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126249,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129747,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130920,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130590,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,124897,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,125679,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130093,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130657,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130870,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130791,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126492,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131674,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126695,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130096,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129907,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130202,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131244,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131323,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129775,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130183,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130566,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130956,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,119475,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131679,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130121,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130122,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130385,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130682,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,119562,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126367,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,123839,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126329,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126330,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130233,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126268,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130261,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130262,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130264,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126758,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129805,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130984,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111078,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129871,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130717,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131747,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126479,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126480,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129622,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129773,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130852,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126339,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126341,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130358,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126794,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130333,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130641,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130642,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130643,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131020,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126361,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129904,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130447,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130742,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130745,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131785,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131216,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129649,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129919,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129921,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130044,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130880,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130885,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,111033,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131377,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129863,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130281,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130282,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130675,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130676,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131045,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131052,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,108879,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,108913,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,108943,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,126256,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129663,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130773,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130995,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131819,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,127259,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,127867,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,128026,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129950,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130271,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129522,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,117027,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,127130,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130704,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130707,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,131083,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129526,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,129531,,
,,,,,,,,,,,,,,,1,,,,23/12/2020 12:00:00 AM,2020,,130251,,
